id,reference,base_hypothesis,final_hypothesis,base_wer,final_wer,wer_improvement,status,transition,base_errors,final_errors
234,ừ,thế là là em,thế là thì tao thấy em,4.0,6.0,-2.0,worsened,wrong_to_wrong,4,6
235,ừ,trời ơi,trời ơi phương xin mời anh xem,2.0,7.0,-5.0,worsened,wrong_to_wrong,2,7
236,và,và,và,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
237,có cái từ mà thay trong giới truyền thông hay dùng cho khán giả hơn đó là định kiến,có một cái từ mà hay trong giới truyền thông hay dùng cho khán giả hơn đó là định kiến,có cái từ mà thay trong giới truyền thông hay dùng cho khán giả hơn đó là định kiến,0.10526315789473684,0.0,0.10526315789473684,improved,wrong_to_correct,2,0
238,ừ,ừ,ừ,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
239,và bản thân anh hoàng,và bản thân anh hoàng,và bản thân anh hoàng,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
240,và bản thân anh hoàng,và bản thân anh hoàng,và bản thân anh hoàng,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
241,lý do rồi tại sao em nói là,lý do rồi tại sao anh nói đó,lý do rồi tại sao em nói là,0.25,0.0,0.25,improved,wrong_to_correct,2,0
242,rồi tại sao em nói rằng là nếu mà anh nói rằng anh sai khán giả sẽ ồ đi tìm xem anh còn sai cái gì bởi vì,tại sao em nói rằng là nếu mà anh nói rằng anh sai khán giả sẽ u hồn đi tìm xem anh hoặc sai cái gì tại vì,rồi tại sao em nói rằng là nếu mà anh nói rằng anh sai khán giả sẽ ồ đi tìm xem anh còn sai cái gì bởi vì,0.17857142857142858,0.0,0.17857142857142858,improved,wrong_to_correct,5,0
243,đúng rồi hàng,đúng rồi,đúng rồi hàng,0.3333333333333333,0.0,0.3333333333333333,improved,wrong_to_correct,1,0
244,tại vì,tại vì,tại vì,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
245,mọi người luôn mặc định là những cái người mà trẻ tuổi tài giỏi thành tựu tốt,mọi người luôn mặc định là những cái người mà trẻ tuổi tài giỏi thành tựu tốt,mọi người luôn mặc định là những cái người mà trẻ tuổi tài giỏi thành tựu tốt,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
246,ừ,bên,bên về thế,1.0,3.0,-2.0,worsened,wrong_to_wrong,1,3
247,thì hẳn nhiên nó phải là,thì hẳn niên nó phải là,thì hẳn nhiên nó phải là,0.16666666666666666,0.0,0.16666666666666666,improved,wrong_to_correct,1,0
248,con ông cháu cha rồi con vua thì lại làm vua nó có những,con ông cháu cha rồi con vua thì lại làm vua nó có những,con ông cháu cha rồi con vua thì lại làm vua nó có những,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
249,có những xuất phát điểm tốt,rất vui phải để anh giấu,rất vui phải để anh giấu,1.0,1.0,0.0,unchanged,wrong_to_wrong,6,6
250,đúng nó có những xuất phát điểm tốt và,đúng nó có những xuất phần tốt và,đúng nó có những xuất phát điểm tốt và,0.2222222222222222,0.0,0.2222222222222222,improved,wrong_to_correct,2,0
251,nhìn thấy cái sai lầm của người ta sẽ cảm thấy mình rằng là cũng vui đấy kiểu như vậy,nhìn thấy cái sai lầm của người ta sẽ cảm thấy mình cũng vui đấy kiểu như vậy,nhìn thấy cái sai lầm của người ta sẽ cảm thấy mình ngẩng cao cũng vui đấy kiểu như vậy,0.1,0.1,0.0,unchanged,wrong_to_wrong,2,2
252,ừ,cái gì vậy,cái gì vậy kể lấy,3.0,5.0,-2.0,worsened,wrong_to_wrong,3,5
253,và nó nó là một cái định kiến rất là lâu trong khán giả và gần đây,và nó là một cái định kiến rất là lâu trong khán giả và gần đây,và nó nó là một cái định kiến rất là lâu trong khán giả và gần đây,0.058823529411764705,0.0,0.058823529411764705,improved,wrong_to_correct,1,0
254,em không biết là anh có thấy chưa nhưng trên mạng bắt đầu xuất hiện những cái thông tin,em không biết là anh có thấy chưa thì trên mạng bắt đầu xuất hiện những cái thông tin,em không biết là anh có thấy chưa nhưng trên mạng bắt đầu xuất hiện những cái thông tin,0.05263157894736842,0.0,0.05263157894736842,improved,wrong_to_correct,1,0
255,ừm,đến lúc,đến lúc thế mình,2.0,4.0,-2.0,worsened,wrong_to_wrong,2,4
256,ừ,thì,thì,1.0,1.0,0.0,unchanged,wrong_to_wrong,1,1
257,họ thậm chí họ không gọi là tin đồn họ thông tin,thậm chí họ không gọi là tin đồn họ thông tin,họ thậm chí họ không gọi là tin đồn họ thông tin,0.08333333333333333,0.0,0.08333333333333333,improved,wrong_to_correct,1,0
258,anh hoàng lên được vị trí ceo của uni là bởi vì là con cháu của lãnh đạo cấp cao đấy,anh hoàng lên được vị trí ceo của uni là bởi vì con cháu của lãnh đạo cấp cao đấy,anh hoàng lên được vị trí ceo của uni là bởi vì là con cháu của lãnh đạo cấp cao đấy,0.047619047619047616,0.0,0.047619047619047616,improved,wrong_to_correct,1,0
259,yeah,dạ,dạ nhờ,1.0,2.0,-1.0,worsened,wrong_to_wrong,1,2
260,thì anh đọc chưa và anh nghĩ thế nào về cái gọi là định kiến và fix mindset này,thì anh đọc chưa và anh nghĩ thế nào về cái gọi là cái định kiến cái fix mindset này,thì anh đọc chưa và anh nghĩ thế nào về cái gọi là định kiến và fix mindset này,0.10526315789473684,0.0,0.10526315789473684,improved,wrong_to_correct,2,0
261,hhhhhh,thế thì,thế thì,2.0,2.0,0.0,unchanged,wrong_to_wrong,2,2
262,anh thì thật ra hồi trước giờ anh ít khi nào dành thời gian để trả lời những tin đồn,thật ra hồi trước giờ anh ít khi nào dành thời gian để trả lời những tin đồn,thật ra hồi trước giờ anh ít khi nào dành thời gian để trả lời những tin đồn anh thì thật vào chứ giờ anh ít khi nào dành thời gian để trả lời những cái tin đồn anh thì thật ra hồi trước giờ anh ít khi nào dành thời gian để trả lời những cái tin tin đồn,0.1,2.0,-1.9,worsened,wrong_to_wrong,2,40
263,tại vì anh thấy là,ở vn hay là,ở vn hay là tại vì anh thấy là,0.8,0.8,0.0,unchanged,wrong_to_wrong,4,4
264,trả lời không biết bao giờ cho hết được đúng không,trả lời không biết bao giờ dơ hết được đúng không,trả lời không biết bao giờ giờ hết được đúng không,0.09090909090909091,0.09090909090909091,0.0,unchanged,wrong_to_wrong,1,1
265,còn suy nghĩ thì nếu mà hỏi anh suy nghỉ gì với cái cái nhìn đó của mọi người thì anh thấy cũng bình thường tức là,còn suy nghĩ thì nếu mà hỏi anh suy nghỉ gì với cái cách nhìn đó của mọi người thì anh thấy cũng bình thường tức là,còn suy nghĩ thì nếu mà hỏi anh suy nghỉ gì với cái cái nhìn đó của mọi người thì anh thấy cũng bình thường tức là là là,0.037037037037037035,0.07407407407407407,-0.037037037037037035,worsened,wrong_to_wrong,1,2
266,đầu tiên em thấy cũng vui nha,đầu tiên em thấy cũng vui nha,đầu tiên em thấy cũng vui nha,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
267,tại vì rõ ràng là mình phải có cái gì đó người ta mới nghĩ là mình có một cái xuất phát điểm tốt đến như vậy đúng không,tại vì rõ ràng là mình phải có cái gì đó người ta mới nghĩ là mình có một cái xuất phạt điểm tốt đến như vậy đúng không,tại vì rõ ràng là mình phải có cái gì đó người ta mới nghĩ là mình có một cái xuất phát điểm tốt đến như vậy đúng không,0.034482758620689655,0.0,0.034482758620689655,improved,wrong_to_correct,1,0
268,nhưng mà thật ra thì không có nói chung là đơn giản là nó không có thôi còn khi nó đã không có anh thường không quan tâm,nhưng mà thật ra thì không có nói chung là đơn giản là nó không có thôi còn khi nó đã không có anh thường cũng quan tâm,nhưng mà thật ra thì không có nói chung là đơn giản là nó không có thôi còn khi nó đã không có anh thường cũng quen rồi yên tâm,0.03571428571428571,0.14285714285714285,-0.10714285714285714,worsened,wrong_to_wrong,1,4
269,thực sự là vậy còn,thật sự là vậy con,thực sự là vậy con,0.4,0.2,0.2,improved,wrong_to_wrong,2,1
270,câu chuyện anh thấy cái quan điểm là mình phải,câu chuyện anh thấy cái quan điểm là mình phải,câu chuyện anh thấy cái quan điểm là mình phải,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
271,con ông cháu cha con người này người kia hay là,con ông cháu cha con người này người kia hay là,con ông cháu cha con không giấu cha con ông chú cha con người này người kia là,0.0,0.8181818181818182,-0.8181818181818182,worsened,correct_to_wrong,0,9
272,nó cũng nó cũng cũng cũng phai nhạt rồi ở trong xã hội này tức là bây giờ,nó cũng phai nhạt rồi ở trong xã hội này tức là bây giờ,nó cũng phai nhạt rồi ở trong xã hội này rất là bây giờ,0.2222222222222222,0.2777777777777778,-0.05555555555555558,worsened,wrong_to_wrong,4,5
273,xuất phát điểm nào cũng có điều kiện để vươn lên,số phát điểm nào cũng có điều kiện để vương lên,xuất phát điểm nào cũng có điều kiện để vươn lên,0.18181818181818182,0.0,0.18181818181818182,improved,wrong_to_correct,2,0
274,và anh tin là nếu mà các bạn trẻ bây giờ các bạn cũng có niềm tin đó mạnh mẽ hơn là nếu mình có năng lực thì luôn luôn có chỗ cho mình trong xã hội hết,và anh tin là nếu mà các bạn trẻ bây giờ các bạn cũng có niềm tin đó mạnh mẽ hơn là nếu mình có năng lực thì luôn luôn có chỗ cho mình trong xã hội hết,và anh tin là nếu mà các bạn trẻ bây giờ các bạn cũng có niềm tin đó mạnh mẽ hơn là nếu mình có năng lực thì luôn luôn có chỗ cho mình trong xã hội hết,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
275,còn đương nhiên anh thấy là,còn đương nhiên anh thấy là,còn đương nhiên anh thấy là,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
276,nhiều bạn mà xuất phát đến tốt nhiều khi còn phải vượt sướng,nhiều bạn mà xuất phát đến tốt nhiều khi còn phải vượt xướng,như xuất phát điểm tốt nhiều khi còn phải vượt sướng,0.07692307692307693,0.3076923076923077,-0.23076923076923078,worsened,wrong_to_wrong,1,4
277,vượt sướng có khi còn khổ hơn vượt khổ nữa,mà vượt trướng có khi còn khó hơn vừa khổ nữa,vượt sướng có khi còn khổ hơn vượt khổ nữa,0.4,0.0,0.4,improved,wrong_to_correct,4,0
278,cái này là em thấy nhiều rồi vượt sướng nó còn hơn cả vượt khổ nữa,cái này là em thấy nhiều rồi vượt xưa nó còn hơn cả vượtt khổ nữa,cái này là em thấy nhiều rồi vượt sướng nó còn hơn cả vượt khổ nữa,0.125,0.0,0.125,improved,wrong_to_correct,2,0
279,ừ,ừ,ừ,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
280,tại vì tới lúc mình thành tựu rồi á,tại vì tới lúc mình thành tựu rồi á,tại vì tới lúc mình thành tựu rồi đó,0.0,0.1111111111111111,-0.1111111111111111,worsened,correct_to_wrong,0,1
281,cái sự công nhận nó lại còn,cái sự công nhận đó lại còn,cái sự công nhận nó lại còn,0.14285714285714285,0.0,0.14285714285714285,improved,wrong_to_correct,1,0
282,nửa vời nữa nhiều khi mình có thành tựu mà người ta cứ nhìn là ừ thật ra,nửa vời nữa nhiều khi mình có thành tựu mà người ta cứ nhìn là ừ thật ra,nửa vời nữa nhiều khi mình có thành tựu mà người ta cứ nhìn là ừ thật ra,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
283,trong cái thành tựu của ông này có năm mươi phần trăm là thành tựu và năm mươi phần trăm là xuất phát điểm,trong cái thành tựu của ông này có 50 là thành tụ 50 số phát điểm,trong cái thành tựu của ông này có năm mươi phần trăm là thành tụ và năm mươi phần trăm là xuất phát điểm,0.5,0.041666666666666664,0.4583333333333333,improved,wrong_to_wrong,12,1
284,người ta lại còn phải cố gắng chứng minh thêm một lần nữa là thành tựu của tôi,người ta lại còn phải cố gắng chứng minh thêm một lần nữa là thành tựu của tôi,người ta lại còn phải cố gắng chứng minh thêm một lần nữa là thành tựu của tôi,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
285,cái thành tựu nó vượt trên xuất phát điểm của tôi,thành thủ vừa kiên xuất phát điểm của tôi,thành tựu nó vượt trên xuất phát điểm của tôi,0.45454545454545453,0.09090909090909091,0.36363636363636365,improved,wrong_to_wrong,5,1
286,thì anh thấy thôi coi như là,thì anh thấy thôi coi như là,thì anh thấy thôi coi như là,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
287,khi mà mình xuất phát bằng không nó lại còn may mắn tại vì tất cả những gì mình tạo nên từ đó đều là thành tựu hết,khi mà mình xuất phát bằng không nó lại còn may mắn tại vì tất cả những gì mình tạo nên từ đó đều là thành thủ hết,khi mà mình xuất phát bằng không nó lại còn may mắn tại vì tất cả những gì mình tạo nên từ đó đều là thành tựu hết,0.03571428571428571,0.0,0.03571428571428571,improved,wrong_to_correct,1,0
288,nãy giờ mình đề cập khi mà nói chuyện ấy,ngay giờ mình đề cập khi mà nói chuyện ấy,nãy giờ mình đề cập khi mà nói chuyện ấy,0.1,0.0,0.1,improved,wrong_to_correct,1,0
289,em đề cập đến việc fix mindset và leanring tại vì nó là một giai đoạn đầu của một khái niệm khá hay ho mà em đọc được gần đây,em đề cập đến việc fixed mindset và learning tại vì nó là giai đoạn đầu của một thái niệm khá hay ho mà em đọc được gần đây,em đề cập đến việc fix mindset và leanring tại vì nó là một giai đoạn đầu của một khái niệm khá hay ho mà em đọc được gần đây,0.13333333333333333,0.0,0.13333333333333333,improved,wrong_to_correct,4,0
290,ừ,ừ,ừ,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
291,đó là khái niệm unlearning,đó là khái niệm unlearning,unlearning,0.0,0.8,-0.8,worsened,correct_to_wrong,0,4
292,tức là,tức là,tức là,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
293,mình gỡ bỏ những cái tư duy cũ,mình gỡ bỏ những cái tư duy cũ,mình gỡ bỏ những cái tư duy cũ,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
294,những cái tư duy đã không còn hợp thời nữa,những cái tư duy đã không còn hợp thời nữa,những cái tư duy đã không còn hợp thời nữa,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
295,yeah,vâng,vâng yeah,1.0,1.0,0.0,unchanged,wrong_to_wrong,1,1
296,những cái không còn hợp thời thì mình cần gỡ bỏ ra mình không bị đóng linh trong đầu nữa,những cái không còn hợp thời thì mình cần gỡ bỏ ra mình không bị nóng linh trong đầu nữa,những cái không còn hợp thời thì mình cần gỡ bỏ ra mình không bị đóng linh trong đầu nữa,0.05,0.0,0.05,improved,wrong_to_correct,1,0
297,thì em không biết là cái khái niệm unlearning này anh hoàng đã nghe thấy bao giờ chưa và nếu như nghe thì,thì em không biết là cái khái niệm unlearning này anh hoàng đã nghe thấy bao giờ chưa và nếu như nghe,thì em không biết là cái khái niệm học quên này anh hoàng đã nghe thấy bao giờ chưa và nếu như nghe thì,0.043478260869565216,0.08695652173913043,-0.043478260869565216,worsened,wrong_to_wrong,1,2
298,rồi thì anh có đồng ý không,rồi thì anh có đồng ý không,rồi thì anh có đồng ý không,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
299,ờ anh nghĩ là hầu hết mình đều nghe cái khái niệm đó rồi và trong cái đường cong mà đường không gọi là cong gọi là,anh nghĩ là hầu hết mình đều nghe cái khái niệm đó rồi và trong cái đường công mà đường không gọi là,anh nghĩ là hầu hết mình đều nghe cái khái niệm đó rồi và trong cái đường công mà đường không gọi là cong gọi là,0.18518518518518517,0.07407407407407407,0.1111111111111111,improved,wrong_to_wrong,5,2
300,học học thuật á đường cong để học à,học thuật á đường công để học mà,học học thuật á đường cong để học à,0.3333333333333333,0.0,0.3333333333333333,improved,wrong_to_correct,3,0
301,tại vì anh từng,tại vì anh từng,tại vì anh từng,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
302,anh từng enroll một cái khóa học gọi là,em từng enroll một cái khóa học gọi là,an anh từng enroll một cái khóa học gọi là,0.1111111111111111,0.1111111111111111,0.0,unchanged,wrong_to_wrong,1,1
303,learning how to learn,learning how to learn,learning how to learn,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
304,là học cách để học,là học cách để học,là học cách để học,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
305,học cái để học thêm nữa,học cách để học thêm,học cái để học thêm nữa,0.3333333333333333,0.0,0.3333333333333333,improved,wrong_to_correct,2,0
306,thì giống như mình nên là mình sẽ đổ cái ly nước đi thì mình mới có chỗ để mình siêu thêm nước vào,giống như mình nên là mình sẽ đổ cái ly nước đi thì mới có chỗ để mình siêu thêm nước vào,thì giống như mình nên là mình sẽ đổ cái ly nước đi thì mình mới có chỗ để mình siêu thêm nước vào,0.08333333333333333,0.0,0.08333333333333333,improved,wrong_to_correct,2,0
307,thì unlearn là như vậy,thì ở lớn là như vậy,thì ẩn lên là như vậy,0.4,0.4,0.0,unchanged,wrong_to_wrong,2,2
308,ờ tại vì,tại vì,tại vì,0.3333333333333333,0.3333333333333333,0.0,unchanged,wrong_to_wrong,1,1
309,một cái thông tin kiến thức nó cũng sẽ phải thay đổi theo thời gian sách giáo khoa người ta còn phải cập nhật mà đúng không,một cái thông tin kiến thức nó cũng sẽ phải thay đổi theo thời gian sách giáo khoa người ta còn phải cập nhật mà đúng không,một cái thông tin kiến thức nó cũng sẽ phải thay đổi theo thời gian sách giáo khoa người ta còn phải cập nhật mà đúng không,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
310,ờ và,và,và,0.5,0.5,0.0,unchanged,wrong_to_wrong,1,1
311,kể cả như chatgpt thì nó cũng phải dựa trên cái phiên bản nâng cấp và nâng cấp là dựa vào cái bigdata mới tức là cái gì nó cũng sẽ có thêm,kể cả như charge gpt thì nó cũng phải dựa trên cái phiên bản nâng cấp và nânh cấp là dự trên cái big data mới tức là cái gì nó cũng có thêm,kể cả như chatgpt thì nó cũng phải dựa trên cái phiên bản nâng cấp và nâng cấp là dựa vào cái bigdata mới tức là cái gì nó cũng sẽ có thêm,0.24242424242424243,0.0,0.24242424242424243,improved,wrong_to_correct,8,0
312,input,input,input,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
313,có thêm vi xử lý mới rồi mới ra được output mới,có thêm vi xử lý mới rồi mới ra được output mới,có thêm vi xử lý mới rồi mới ra được output mới,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
314,thì anh nghĩ là chắc chắn cái chuyện mình phải unlearn để mình learn cái cái,thì anh nghĩ là chắc chắn cái chuyện mình phải unlearn để mình learn,thì anh nghĩ là chắc chắn cái chuyện mình phải học hỏi để mình học hỏi cái gì đó,0.125,0.375,-0.25,worsened,wrong_to_wrong,2,6
315,cái mới đó là cái điều chắc chắn là cần thiết rồi giống như kể cả đối với,cái mới đó là cái điều chắc chắn là cần thiết rồi giống như kể cả đối với,cái mới đó là cái điều chắc chắn là cần thiết rồi giống như kể cả đối với,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
316,bản thân mình nữa,bản thân mình á,bản thân mình nữa,0.25,0.0,0.25,improved,wrong_to_correct,1,0
317,trong quá trình mình phát triển,trong quá trình mình phát triển,trong quá trình mình phát triển,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
318,thì mình cũng sẽ tự khám phá về mình,thì mình cũng sẽ tự khám phá về mình,thì mình cũng sẽ tự khám phá về mình,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
319,và cái khám phá đó về mình buộc mình phải,và cái khám phá đó về mình buộc mình phải,và cái khám phá đó về mình buộc mình phải,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
320,có những lúc mình sẽ bị,có những lúc mình sẽ bị,có những lúc mình sẽ bị,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
321,bị khó chịu á tự nhiên mình khám phá ra một góc khác của bản thân mình,bị khó chịu tự nhiên mình khám phá ra một cái góc khác của bản thân mình,bị khó chịu á tự nhiên mình khám phá ra một góc khác của bản thân mình,0.11764705882352941,0.0,0.11764705882352941,improved,wrong_to_correct,2,0
322,nhưng sau đó mình phải học cách để chung sống với cái góc độ đó nó chính là unlearn đó,nhưng sau đó mình phải học cách để chung sống với cái góc độ đó đó chính là ơn lên đó,nhưng sau đó mình phải học cách để chung sống với cái góc độ đó nó chính là lên lớn đó,0.15,0.1,0.04999999999999999,improved,wrong_to_wrong,3,2
323,là em học lại về con người của em,là em học lại về con người của em,là em học lại về con người của em,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
324,hoặc trong cả mối quan hệ với người bạn người yêu người bạn đời của mình,hoặc trong cả mối quan hệ với người bạn người yêu người bạn đời của mình,hoặc trong cả mối quan hệ với người bạn người yêu người bạn đời của mình,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
325,đôi khi một thời gian dài sau em sẽ à okay,đôi khi một thời gian dài sau em sẽ à ok,đôi khi một thời gian dài sau em sẽ à okay,0.09090909090909091,0.0,0.09090909090909091,improved,wrong_to_correct,1,0
326,có một cái nhìn khác về họ,có một cái nhìn khác về họ,có một cái nhìn khác về họ,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
327,và nó khác với cái con người mà từ trước giờ em nhìn thấy và em chấp nhận,và nó khác với cái con người mà từ trước giờ em nhìn thấy và em chấp nhận,và nó khác với cái con người mà từ trước giờ em nhìn thấy và em chấp nhận,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
328,và để hòa hợp với cái em vừa nhìn thấy đó em buộc phải unlearn về họ,và để hòa hợp với cái em vừa nhìn thấy đó em buộc phải learn về họ,và để hòa hợp với cái em vừa nhìn thấy đó em buộc phải ơn lên về họ,0.058823529411764705,0.11764705882352941,-0.058823529411764705,worsened,wrong_to_wrong,1,2
329,thì anh tin là cái gì ở trong,thì anh tin là cái gì ở trong,thì anh tin là cái gì ở trong,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
330,cuộc sống này em vậy hết á khi mà mình học thì,cuộc sống này cũng vậy hết á khi mà mình học thì,cuộc sống này em vậy hết á khi mà mình học thì,0.08333333333333333,0.0,0.08333333333333333,improved,wrong_to_correct,1,0
331,cái mà mình biết là cái mình biết ở thời điểm đó,cái mà mình biết là cái mình biết ở thời điểm đó,cái mà mình biết là cái mình biết ở thời điểm đó,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
332,nhưng mà mình không được coi cái biết ở thời điểm đó là tất cả,nhưng mà mình không được coi cái biết ở thời điểm đó là tất cả,nhưng mà mình không được coi cái biết ở thời điểm đó là tất cả,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
333,tại vì thứ nhất là,tại vì thứ nhất là,tại vì thứ nhất là,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
334,có thể mình chưa biết hết,có thể mình chưa biết hết,có thể mình chưa biết hết,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
335,thứ hai là có thể người ta còn biến đổi,thứ hai là có thể người ta còn biến đổi,thứ hai là có thể người ta còn biến đổi,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
336,và thứ ba nữa là cả hai quá trình nó cùng diễn ra nó đòi hỏi mình phải có một cái vi xử lý mới,và thứ ba nữa là cả hai quá trình nó cùng diễn ra nó đòi hỏi mình phải có một cái vi xử lý mới,và thứ ba nữa là cả hai quá trình nó cùng diễn ra nó đòi hỏi mình phải có một cái vi xử lý mới,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
337,và mình phải ơn lên cái điều cũ để học cái điều mới,và mình sẽ ơn lên cái điều cũ để học cái điều mới,và mình phải ơn lên cái điều cũ để học cái điều mới,0.07692307692307693,0.0,0.07692307692307693,improved,wrong_to_correct,1,0
338,thì anh,thì anh,thì anh,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
339,anh thì anh là một người tin vào cái điểm đó,anh thì anh là một người tin vào cái điểm đó,anh thì anh là một người tin vào cái điểm đó,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
340,anh không bao giờ tin là à ok cái mình biết chắc chắn đúng rồi,anh không bao giờ tin là cái mình biết chắc chắn đúng rồi,anh không bao giờ tin là cái mình biết chắc chắn đúng rồi,0.13333333333333333,0.13333333333333333,0.0,unchanged,wrong_to_wrong,2,2
341,thật đủ rồi,thật đúng rồi,thật đủ rồi,0.3333333333333333,0.0,0.3333333333333333,improved,wrong_to_correct,1,0
342,thật ra em lại là một người không giống anh hoàng,thật ra em lại là một người không giống anh hoàng,thật ra em lại là một người không giống anh hoàng,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
343,ừ,ừ,ừ,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
344,em cứ thế này nó không phải là đổ lỗi nha nhưng trong cái quá trình mà em làm báo nhiều năm trước khi mà mình quen nhau thời gian trước á,em cứ thế này nó không phải là đổ lỗi nha nhưng trong cái quá trình mà em làm báo nhiều năm trước khi mà mình quen nhau thời gian trước á,em cứ thế này nó không phải là đổ lỗi nha nhưng trong cái quá trình mà em làm báo nhiều năm trước khi mà mình quen nhau thời gian trước á,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
345,có những thứ mà em hay gọi đùa là nó đóng linh vào đầu em đó như vậy rồi,có những thứ mà em hay gọi đùa là nó đóng linh vào đầu em nó như vậy đó,có những thứ mà em hay gọi đùa là nó đóng linh vào đầu em đó như vậy đúng không,0.10526315789473684,0.10526315789473684,0.0,unchanged,wrong_to_wrong,2,2
346,yeah,dạ,dạ giờ,1.0,2.0,-1.0,worsened,wrong_to_wrong,1,2
347,khi em mới phát hiện là khái niệm unlean,khi mà phát hiện là khái niệm ăn lên,khi em mới phát hiện là khái niệm ăn lên,0.4444444444444444,0.2222222222222222,0.2222222222222222,improved,wrong_to_wrong,4,2
348,thì em mới nhận ra rằng là thật ra là em đã bắt đầu unlearn dần kể từ khi em ngừng làm máu,thì em mới nhận ra rằng là thật ra là em đã bắt đầu ăn lơn dần kể từ khi em ngừng làm máu,thì em mới nhận ra rằng là thật ra là em đã bắt đầu ăn lơn dần kể từ khi em ngừng làm máu,0.08695652173913043,0.08695652173913043,0.0,unchanged,wrong_to_wrong,2,2
349,nhưng cái đó lúc đó em không định nghĩa được trong đầu nó là cái gì hết,nhưng cái đó lúc đó em không định nghĩa được trong đầu nó là cái gì hết,nhưng cái đó lúc đó em không định nghĩa được trong đầu nó là cái gì hết,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
350,và khi mà mình bắt đầu unlearn bắt đầu quá trình đó thì tức là bởi vì khoảnh khắc đấy mình nhận ra rằng cái trong đầu mình cái kiến thức của mình nó không còn phù hợp nữa,và khi mà mình bắt đầu ăn lớn bắt đầu quá trình đó thì tức là bởi vì khoảnh khắc đấy mình nhận ra rằng cái trong đầu mình cái kiến thức của mình nó không còn phù hợp nữa,và khi mà mình bắt đầu ăn lớn bắt đầu quá trình đó thì tức là bởi vì khoảnh khắc đấy mình nhận ra rằng cái trong đầu mình cái kiến thức của mình nó không còn phù hợp nữa,0.05128205128205128,0.05128205128205128,0.0,unchanged,wrong_to_wrong,2,2
351,ờ,thế,ờ để,1.0,1.0,0.0,unchanged,wrong_to_wrong,1,1
352,nó ư,nói,nó ư,1.0,0.0,1.0,improved,wrong_to_correct,2,0
353,thời điểm trước là đúng nhưng thời điểm này nó không còn phù hợp với cái giai đoạn này nữa,thời điểm trước là đúng nhưng thời điểm này nó không còn phù hợp với cái giai đoạn này nữa,thời điểm trước là đúng nhưng thời điểm này nó không còn phù hợp với cái giai đoạn này nữa,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
354,yeah,mình ơi,mình ơi nhờ,2.0,3.0,-1.0,worsened,wrong_to_wrong,2,3
355,và,bạn,bạn và,1.0,1.0,0.0,unchanged,wrong_to_wrong,1,1
356,em rất là nói như nào nhờ,em rất là nói như nào nhỉ,em rất là nói như thế nào nhỉ,0.14285714285714285,0.2857142857142857,-0.14285714285714285,worsened,wrong_to_wrong,1,2
357,em rất là,em rất lạc,em rất là,0.3333333333333333,0.0,0.3333333333333333,improved,wrong_to_correct,1,0
